,dataset_name,n_components,reconstruction_error
0,bank_marketing,1,4.022699571234296
1,bank_marketing,3,3.699385409043695
2,bank_marketing,5,2.8524716068033023
3,bank_marketing,7,2.8721913094704314
4,bank_marketing,9,1.4811212037088788
5,bank_marketing,11,1.4845307260806073
6,bank_marketing,13,1.0949578867010636
7,bank_marketing,15,1.2941610577996516
8,bank_marketing,17,0.9552683469264096
9,bank_marketing,19,0.6798501579273477
10,bank_marketing,21,1.1290055745498957
11,bank_marketing,23,0.7119924030234119
12,bank_marketing,26,0.635468705385745
13,bank_marketing,28,0.4900935012807256
14,bank_marketing,30,0.4500853413903253
15,bank_marketing,32,0.5594882970799901
16,bank_marketing,34,0.4860310735156191
17,bank_marketing,36,0.4315995688380621
18,bank_marketing,38,0.4679224180201724
19,bank_marketing,40,0.4825023847054836
20,bank_marketing,42,0.38448723542464197
21,bank_marketing,44,0.40642033633364255
22,bank_marketing,46,0.3208817971674919
23,bank_marketing,48,0.39629296680730536
24,bank_marketing,51,0.28204402087027075
26,real_waste,171,730737.3304041749
27,real_waste,342,311072.8536487551
28,real_waste,512,203500.71947924304
29,real_waste,683,157495.48839077362
30,real_waste,854,125229.87466786141
31,real_waste,1024,106121.02427396379
32,real_waste,1195,86537.48027838263
33,real_waste,1366,78147.85446386776
34,real_waste,1536,72589.53006374338
35,real_waste,1707,61553.43950003154
36,real_waste,1877,57248.344371473526
37,real_waste,2048,53127.86796473752
38,real_waste,2219,49287.01417357508
39,real_waste,2389,43474.09576281393
40,real_waste,2560,41413.328478414536
41,real_waste,2731,38427.504934528275
42,real_waste,2901,37287.700503677486
43,real_waste,3072,34411.11564120205
44,real_waste,3242,32127.394601828393
45,real_waste,3413,30669.389448957307
46,real_waste,3584,30434.197229794332
47,real_waste,3754,28538.63561517491
48,real_waste,3925,27729.33680728623
49,real_waste,4096,26750.21869573446
50,bank_marketing,1,16.15524341148199
51,bank_marketing,3,5.612469726709076
52,bank_marketing,5,3.01231079392683
53,bank_marketing,7,2.1897580304704376
54,bank_marketing,9,2.2268341637749485
55,bank_marketing,11,1.5380655237582674
56,bank_marketing,13,1.303469065858514
57,bank_marketing,15,1.1966708140031113
58,bank_marketing,17,0.8217123164306861
59,bank_marketing,19,0.7431001442143127
60,bank_marketing,21,0.7463038852316559
61,bank_marketing,23,0.5677537675127322
62,bank_marketing,26,0.5832322526031698
63,bank_marketing,28,0.6687072617261143
64,bank_marketing,30,0.5372257846636838
65,bank_marketing,32,0.5341077934926073
66,bank_marketing,34,0.5003975236861073
67,bank_marketing,36,0.41758543227109635
68,bank_marketing,38,0.40160215021079637
69,bank_marketing,40,0.4918261855968167
70,bank_marketing,42,0.47032041515971257
71,bank_marketing,44,0.37394085824164136
72,bank_marketing,46,0.3085650010753851
73,bank_marketing,48,0.3114026407013747
74,bank_marketing,51,0.2994663811053096
76,real_waste,171,622221.0525759498
77,real_waste,342,312293.2981516904
78,real_waste,512,235615.10129073757
79,real_waste,683,174324.0223730796
80,real_waste,854,128699.6820236956
81,real_waste,1024,100239.3887540554
82,real_waste,1195,90041.87610416547
83,real_waste,1366,79416.00189973235
84,real_waste,1536,69344.2355136844
85,real_waste,1707,62880.97928973615
86,real_waste,1877,58929.5276946178
87,real_waste,2048,49471.98090120896
88,real_waste,2219,49645.11333163654
89,real_waste,2389,45937.18100673527
90,real_waste,2560,42923.71042750144
91,real_waste,2731,39097.79370502682
92,real_waste,2901,40067.91519752771
93,real_waste,3072,36654.36395368198
94,real_waste,3242,33171.466879111766
95,real_waste,3413,30173.985854641942
96,real_waste,3584,32573.68197438101
97,real_waste,3754,28008.429064281983
98,real_waste,3925,28445.524560326583
99,real_waste,4096,25602.94405811929
100,bank_marketing,1,4.180151546821889
101,bank_marketing,3,3.1220565332875543
102,bank_marketing,5,3.8690030755152525
103,bank_marketing,7,2.2742358294297746
104,bank_marketing,9,1.3419476521236142
105,bank_marketing,11,1.7331175907588914
106,bank_marketing,13,1.4357589817511407
107,bank_marketing,15,1.2182524475584882
108,bank_marketing,17,0.8619279967956414
109,bank_marketing,19,1.0793232683738012
110,bank_marketing,21,0.6663584585797219
111,bank_marketing,23,0.6836380037647005
112,bank_marketing,26,0.5297118026694013
113,bank_marketing,28,0.5768255127067853
114,bank_marketing,30,0.4387118004976268
115,bank_marketing,32,0.5337860117997655
116,bank_marketing,34,0.43198372129046253
117,bank_marketing,36,0.42016573172782384
118,bank_marketing,38,0.3825333723937223
119,bank_marketing,40,0.34203826798065234
120,bank_marketing,42,0.32900461117397023
121,bank_marketing,44,0.3509370561174292
122,bank_marketing,46,0.39337994972155793
123,bank_marketing,48,0.468069169635077
124,bank_marketing,51,0.2900715536295103
126,real_waste,171,526019.4150983529
127,real_waste,342,339600.1659266453
128,real_waste,512,214946.5199649264
129,real_waste,683,151312.81813684513
130,real_waste,854,124579.90191233126
131,real_waste,1024,107291.41251496678
132,real_waste,1195,89354.06349895854
133,real_waste,1366,80820.95604300195
134,real_waste,1536,81298.75830810644
135,real_waste,1707,65617.34438386401
136,real_waste,1877,56136.76927517197
137,real_waste,2048,48926.19352665325
138,real_waste,2219,49161.85448844545
139,real_waste,2389,43759.21834726959
140,real_waste,2560,38740.368266277575
141,real_waste,2731,38817.18563461084
142,real_waste,2901,38708.05554593759
143,real_waste,3072,34181.68556098454
144,real_waste,3242,33742.77253851369
145,real_waste,3413,31308.671198211567
146,real_waste,3584,29322.312429381447
147,real_waste,3754,28373.05507985525
148,real_waste,3925,27638.20071501082
149,real_waste,4096,27112.773476943912
150,bank_marketing,1,21.969737858574472
151,bank_marketing,3,4.513191040159871
152,bank_marketing,5,3.604640347395765
153,bank_marketing,7,2.044635922121396
154,bank_marketing,9,1.6055050664939163
155,bank_marketing,11,1.2790293282585503
156,bank_marketing,13,1.1770789322039807
157,bank_marketing,15,1.4196812092032844
158,bank_marketing,17,1.0551996834650605
159,bank_marketing,19,0.9091785826700621
160,bank_marketing,21,0.9427321059700321
161,bank_marketing,23,0.716436237858274
162,bank_marketing,26,0.6219628618228573
163,bank_marketing,28,0.5948748721958896
164,bank_marketing,30,0.49142665348387793
165,bank_marketing,32,0.4826123706377885
166,bank_marketing,34,0.4633820507090176
167,bank_marketing,36,0.40851998657351185
168,bank_marketing,38,0.45535442039678625
169,bank_marketing,40,0.40762806490526604
170,bank_marketing,42,0.40629742882712294
171,bank_marketing,44,0.339993741362498
172,bank_marketing,46,0.3549550227435699
173,bank_marketing,48,0.35391569925543265
174,bank_marketing,51,0.3062105410857742
176,real_waste,171,724221.3002211491
177,real_waste,342,293368.6699110997
178,real_waste,512,188763.81327184426
179,real_waste,683,150180.32532542868
180,real_waste,854,120372.42045463591
181,real_waste,1024,106540.17544622999
182,real_waste,1195,91784.0157201492
183,real_waste,1366,80835.25755903513
184,real_waste,1536,69061.2648164943
185,real_waste,1707,61198.51823067314
186,real_waste,1877,59648.73481037687
187,real_waste,2048,53806.44427641493
188,real_waste,2219,46269.675202307946
189,real_waste,2389,45482.14781149116
190,real_waste,2560,44245.384807516966
191,real_waste,2731,39945.64716015817
192,real_waste,2901,36592.24066865523
193,real_waste,3072,33935.525895483835
194,real_waste,3242,32115.07099118678
195,real_waste,3413,30469.071529427456
196,real_waste,3584,29110.101618482593
197,real_waste,3754,27379.45783240217
198,real_waste,3925,25857.156239859807
199,real_waste,4096,26802.7792875231
200,bank_marketing,1,9.845204863656367
201,bank_marketing,3,5.124367000143533
202,bank_marketing,5,3.1450565784672353
203,bank_marketing,7,1.767552945232327
204,bank_marketing,9,1.4969713917040768
205,bank_marketing,11,1.5633778691157958
206,bank_marketing,13,1.2917535701897929
207,bank_marketing,15,1.146908640274969
208,bank_marketing,17,0.9197144096644418
209,bank_marketing,19,0.7789877596131737
210,bank_marketing,21,0.7399012786682642
211,bank_marketing,23,0.6889681116527285
212,bank_marketing,26,0.7380867740387791
213,bank_marketing,28,0.5537066695870867
214,bank_marketing,30,0.5520620909518389
215,bank_marketing,32,0.4880552285845036
216,bank_marketing,34,0.43392404042486293
217,bank_marketing,36,0.4012992205654294
218,bank_marketing,38,0.3165109777091358
219,bank_marketing,40,0.42856240802820805
220,bank_marketing,42,0.5411750719441814
221,bank_marketing,44,0.3805059739089658
222,bank_marketing,46,0.37224100201188626
223,bank_marketing,48,0.3206629004192479
224,bank_marketing,51,0.2895823661492472
226,real_waste,171,672231.073777073
227,real_waste,342,279501.3718022115
228,real_waste,512,195800.51509348617
229,real_waste,683,156656.51006074436
230,real_waste,854,126434.48244333171
231,real_waste,1024,107821.85856996116
232,real_waste,1195,91370.2805972348
233,real_waste,1366,77758.77529178123
234,real_waste,1536,75186.83497764476
235,real_waste,1707,64413.167638546496
236,real_waste,1877,58903.9560613964
237,real_waste,2048,50294.23488962419
238,real_waste,2219,48282.752011780845
239,real_waste,2389,46919.05363039057
240,real_waste,2560,43247.999217087694
241,real_waste,2731,40869.05627692201
242,real_waste,2901,39232.0877480683
243,real_waste,3072,35690.007765291826
244,real_waste,3242,31463.26558321566
245,real_waste,3413,32902.33745887461
246,real_waste,3584,30273.366035430896
247,real_waste,3754,28514.846926709084
248,real_waste,3925,26904.279155246375
249,real_waste,4096,26202.818772822233
